EllipsoidCode,DatumCode,DatumName,EPSGCode,dX,dY,dZ,RMSError,EllipsoidName,Flattening,SemiMajorAxis
AIRY_1830,AIRY_1830_ELLIPSOID,Airy 1830 ellipsoid,7001,0,0,0,582.00,Airy 1830,299.3249646,6377563.396
AIRY_1830,ORDNANCE_SURVEY_OF_GREAT_BRITAIN_1936_MEAN,Ordnance Survey of Great Britain 1936,,375,-111,431,42.00,Airy 1830,299.3249646,6377563.396
AUSTRALIAN_NATIONAL,AGD66,Australian Geodetic Datum 1966,6202,-133,-48,148,5.00,Australian National,298.25,6378160.0
AUSTRALIAN_NATIONAL,AGD84,Australian Geodetic Datum 1984,6203,-134,-48,149,3.00,Australian National,298.25,6378160.0
AUSTRALIAN_NATIONAL,ANNA_1_ASTRO_1965,Anna 1 Astro 1965,6708,-491,-22,435,43.00,Australian National,298.25,6378160.0
AUSTRALIAN_NATIONAL,AUSTRALIAN_NATIONAL_ELLIPSOID,Australian National ellipsoid,7003,0,0,0,657.00,Australian National,298.25,6378160.0
BESSEL_1841,BESSEL_1841_ELLIPSOID,Bessel 1841 ellipsoid,7004,0,0,0,865.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,BUKIT_RIMPAH,Bukit Rimpah,6219,-384,664,-48,50.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,COORDINATE_SYSTEM_1937_OF_ESTONIA,Co-ordinate System 1937 of Estonia,,374,150,588,5.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,DJAKARTA_BATAVIA,Djakarta (Batavia),6813,-377,681,-50,5.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,GUNUNG_SEGARA,Gunung Segara,6613,-403,684,41,50.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,HERMANNSKOGEL,Hermannskogel,,653,-212,449,50.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,MASSAWA,Massawa,6262,639,405,60,43.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,S_JTSK,S-JTSK,6156,589,76,480,5.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,TOKYO_MEAN,Tokyo,6301,-148,507,685,43.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841,SYSTEM_JEDNOTNE_TRIGONOMETRICKE_SITE_KATASTRALNI,System Jednotne Trigonometricke Site Katastralni,6156,589,76,480,5.00,Bessel 1841,299.1528128,6377397.155
BESSEL_1841_NAMIBIA,BESSEL_1841_NAMIBIA_ELLIPSOID,Bessel 1841 ellipsoid (Namibia),7046,0,0,0,673.00,Bessel 1841 Namibia,299.1528128,6377483.865
BESSEL_1841_NAMIBIA,SCHWARZECK,Schwarzeck,6293,616,97,-251,35.00,Bessel 1841 Namibia,299.1528128,6377483.865
CLARKE_1858,CLARKE_1858_ELLIPSOID,Clarke 1858 ellipsoid,7007,0,0,0,539.00,Clarke 1858,294.26,6378293.6
CLARKE_1858,TRINIDAD_1903,Trinidad 1903,6302,-33,233,485,4.00,Clarke 1858,294.26,6378293.6
CLARKE_1866,AMERICAN_SAMOA_1962,American Samoa 1962,6169,-115,118,426,43.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,BERMUDA_1957,Bermuda 1957,6216,-73,213,296,35.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,CAPE_CANAVERAL,Cape Canaveral,6717,-2,151,181,5.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,CLARKE_1866_ELLIPSOID,Clarke 1866 ellipsoid,7008,0,0,0,457.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,GUAM_1963,Guam 1963,6675,-100,-248,259,5.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,L_C_5_ASTRO_1961,L.C. 5 Astro 1961,,42,124,147,43.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,LUZON_1911,Luzon 1911,6253,-133,-77,-51,16.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,OCOTEPEQUE_1935,Ocotepeque 1935,,213,9,-75,11.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,OLD_HAWAIIAN_CLARKE_1866_MEAN,"Old Hawaiian, Clarke 1866",,61,-285,-181,72.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,PUERTO_RICO,Puerto Rico,6139,11,72,-101,5.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_ALASKA,North American Datum 1927 (non-Aleutians Alaska),,-5,135,172,11.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_ALEUTIANS_EAST,North American Datum 1927 (Aleutians east of 180),,-2,152,149,14.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_ALEUTIANS_WEST,North American Datum 1927 (Aleutians west of 180),,2,204,105,17.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_CANADA_MEAN,North American Datum 1927 (Canada),,-10,158,187,20.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_CARRIBEAN_MEAN,North American Datum 1927 (Carribbean),,-3,142,183,16.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_CENTRAL_AMERICA_MEAN,North American Datum 1927 (Central America),,0,125,194,10.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_CONUS_MEAN,"North American Datum 1927 (CONUS, contiguous United States)",,-8,160,176,10.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1866,NAD27_GREENLAND,North American Datum 1927 (Greenland),,11,114,195,43.00,Clarke 1866,294.9786982,6378206.4
CLARKE_1880,ADINDAN_MEAN,Adindan,6201,-142,-13,212,68.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,ANTIGUA_ISLAND_ASTRO_1943,Antigua Island Astro 1943,6601,-270,13,62,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,ARC_1950_MEAN,Arc 1950,6209,-146,-73,-293,104.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,ARC_1960_MEAN,Arc 1960,6210,-160,-6,-302,38.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,AYABELLE_LIGHTHOUSE,Ayabelle Lighthouse,6713,-79,-129,145,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,BEKAA_VALLEY_1920_IGN,Bekaa Valley 1920 (IGN),,-183,-15,-273,9.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,CAPE,Cape,6222,-136,-108,-292,9.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,CARTHAGE,Carthage,6223,-263,6,431,13.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,CLARKE_1880_ELLIPSOID,Clarke 1880 ellipsoid,7034,0,0,0,541.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,DABOLA_1981,Dabola 1981,6155,-83,37,124,26.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,DECEPTION_ISLAND,Deception Island,6736,260,12,-147,35.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,FORT_THOMAS_1955,Fort Thomas 1955,6605,-7,215,225,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,LEIGON,Leigon,6250,-130,29,364,4.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,LIBERIA_1964,Liberia 1964,6251,-90,40,88,26.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,MAHE_1971,Mahe 1971,6256,41,-220,-134,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,MERCHICH,Merchich,6261,31,146,47,7.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,MONTSERRAT_ISLAND_ASTRO_1958,Montserrat Island Astro 1958,6604,174,359,365,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,MPORALOKO,M'Poraloko,6266,-74,-130,42,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,NORD_SAHARA_1959,Nord Sahara 1959,6307,-186,-93,310,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,OMAN,Oman,6232,-346,-1,224,10.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,POINT_58,Point 58,6620,-106,-129,165,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,POINT_NOIRE_1958,Point Noire 1958,6282,-148,51,-291,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,SIERRA_LEONE_1968,Sierra Leone 1968,6175,-88,4,101,26.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,VITI_LEVU_1916,Viti Levu 1916,6731,51,391,-36,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,VOIROL_1875,Voirol 1875,6304,-73,-247,227,50.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,VOIROL_1960,Voirol 1960,,-123,-206,219,43.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,LIBERIA_1964_PHILIPPINES_MEAN,Liberia 1964,6251,-133,-78,-62,53.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,MINNA_MEAN,Minna,6263,-86,-88,118,50.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,NAHRWAN_MEAN,Nahrwan,,-246,-165,409,109.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,FAHUD,Fahud,6232,-346,-1,224,10.00,Clarke 1880,293.465,6378249.145
CLARKE_1880,CONGO_1960_POINT_NOIRE,Congo 1960 Point Noire,6282,-148,51,-291,43.00,Clarke 1880,293.465,6378249.145
EVEREST_E_MALAYSIA,EVEREST_ELLIPSOID,"Everest ellipsoid (Brunei,Sabah,Sarawak)",7016,0,0,0,955.00,Everest Brunei and E. Malaysia (Sabah and Sarawak),300.8017,6377298.556
EVEREST_E_MALAYSIA,TIMBALAI_1948,Timbalai 1948,6298,-679,669,-48,19.00,Everest Brunei and E. Malaysia (Sabah and Sarawak),300.8017,6377298.556
