"CoordinateOperationCode","CRSCode","DatumCode","DatumName","EllipsoidCode","EllipsoidName","dx","dy","dz","InverseFlattening","SemimajorAxisInM","OperationAccuracyInM"
crs_1055,4204,6204,"Ain el Abd 1970","7022","International 1924","-145.7","-249.1","1.5","297","6378388","1"
crs_1059,4246,6246,"Kuwait Oil Company","7012","Clarke 1880 (RGS)","-294.7","-200.1","525.5","293.465","6378249.145","1"
crs_1060,4318,6318,"National Geodetic Network","7030","WGS 84","-3.2","-5.7","2.8","298.257223563","6378137","1"
crs_1061,4319,6319,"Kuwait Utility","7019","GRS 1980","-20.8","11.3","2.4","298.257222101","6378137","1"
crs_1065,4678,6678,"Lao National Datum 1997","7024","Krassowsky 1940","44.585","-131.212","-39.544","298.3","6378245","5"
crs_1067,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-92.1","-89.9","114.9","293.465","6378249.145","8"
crs_1070,4675,6675,"Guam 1963","7008","Clarke 1866","-100","-248","259","294.978698213898","6378206.4","6"
crs_1073,4141,6141,"Israel 1993","7019","GRS 1980","-48","55","52","298.257222101","6378137","2"
crs_1075,4230,6230,"European Datum 1950","7022","International 1924","-89.05","-87.03","-124.56","297","6378388","10"
crs_1080,4672,6672,"Chatham Islands Datum 1971","7022","International 1924","175","-38","113","297","6378388","26"
crs_1084,4242,6242,"Jamaica 1969","7008","Clarke 1866","70","207","389.5","294.978698213898","6378206.4","5"
crs_1085,4242,6242,"Jamaica 1969","7008","Clarke 1866","65.334","212.46","387.63","294.978698213898","6378206.4","2"
crs_1087,4230,6230,"European Datum 1950","7022","International 1924","-112","-110.3","-140.2","297","6378388","2.5"
crs_1088,4265,6265,"Monte Mario","7022","International 1924","-223.7","-67.38","1.34","297","6378388","10"
crs_1089,4265,6265,"Monte Mario","7022","International 1924","-225.4","-67.7","7.85","297","6378388","10"
crs_1090,4265,6265,"Monte Mario","7022","International 1924","-227.1","-68.1","14.4","297","6378388","10"
crs_1091,4265,6265,"Monte Mario","7022","International 1924","-231.61","-68.21","13.93","297","6378388","10"
